Match ID,Runs,Mins,Ball Faced,4s,6s,Strike Rate,Batting Position,Dismissal,Inns,Ground,Start Date,Match_Format,Opposition,Result
 ODI # 3259,108,148,120,7,0,90,3,caught,1,Mirpur,13-Mar-12,ODI,Sri Lanka,Win
 ODI # 3261,66,126,82,5,0,80.48,3,bowled,1,Mirpur,16-Mar-12,ODI,Bangladesh,Lost
 ODI # 3263,183,211,148,22,1,123.64,3,caught,2,Mirpur,18-Mar-12,ODI,Pakistan,Win
 T20I # 242 ,,0,0,0,0,0,0,Did Not Bat,0,Johannesburg,30-Mar-12,T20I,South Africa,Lost
ODI # 3291,106,158,113,9,0,93.8,3,caught,1,Hambantota,21-Jul-12,ODI,Sri Lanka,Win
 ODI # 3292,1,6,5,0,0,20,3,caught,1,Hambantota,24-Jul-12,ODI,Sri Lanka,Lost
 ODI # 3293,38,80,65,2,0,58.46,3,caught,2,Colombo (RPS),28-Jul-12,ODI,Sri Lanka,Win
 ODI # 3294,128,187,119,12,1,107.56,3,not out,2,Colombo (RPS),31-Jul-12,ODI,Sri Lanka,Win
 ODI # 3295,23,42,35,2,0,65.71,3,lbw,1,Pallekele,04-Aug-12,ODI,Sri Lanka,Win
 T20I # 255 ,68,65,48,11,1,141.66,3,caught,1,Pallekele,07-Aug-12,T20I,Sri Lanka,Win
Test #2054 ,58,143,107,8,0,54.2,5,caught,1,Hyderabad,23-Aug-12,Test,New Zealand,Win
Test #2055 ,103,284,193,14,1,53.36,5,lbw,2,Bengaluru,31-Aug-12,Test,New Zealand,Win
Test #2055 ,51,130,82,9,0,62.19,5,not out,4,Bengaluru,31-Aug-12,Test,New Zealand,Win
T201 # 261 ,70,67,41,10,1,170.73,2,caught,2,Chennai,11-Sep-12,T20I,New Zealand,NULL
T20I # 265 ,50,60,39,4,2,128.2,3,caught,1,Colombo (RPS),19-Sep-12,T20I,Afghanistan,Win
T201 # 272 ,40,33,32,6,0,125,3,caught,1,Colombo (RPS),23-Sep-12,T20I,England,NULL
T20I # 278 ,15,18,13,2,0,115.38,3,caught,1,Colombo (RPS),28-Sep-12,T20I,Australia,Lost
