Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
0,5,5,0,0,0,3,bowled,1,ODI v England,Eden Gardens,25-Oct-11
15,21,16,3,0,93.75,3,caught,1,T20I v England,Eden Gardens,29-Oct-11
52,154,111,5,0,46.84,6,caught,2,Test v West Indies,Wankhede,22-Nov-11
63,136,114,3,1,55.26,6,caught,4,Test v West Indies,Wankhede,22-Nov-11
3,13,6,0,0,50,4,bowled,2,ODI v West Indies,Cuttack,29-Nov-11
117,154,123,14,0,95.12,4,caught,2,ODI v West Indies,Visakhapatnam,02-Dec-11
20,21,30,3,0,66.66,4,lbw,2,ODI v West Indies,Ahmedabad,05-Dec-11
23*,15,11,3,0,209.09,6,not out,1,ODI v West Indies,Indore,08-Dec-11
80,99,85,5,0,94.11,5,caught,1,ODI v West Indies,Chennai,11-Dec-11
11,28,21,1,0,52.38,7,caught,2,Test v Australia,Melbourne,26-Dec-11
0,3,1,0,0,0,6,lbw,4,Test v Australia,Melbourne,26-Dec-11
23,50,41,3,0,56.09,6,caught,1,Test v Australia,Sydney,03-Jan-12
9,35,24,2,0,37.5,6,lbw,3,Test v Australia,Sydney,03-Jan-12
44,107,81,6,0,54.32,6,caught,1,Test v Australia,Perth,13-Jan-12
75,191,136,9,0,55.14,6,caught,3,Test v Australia,Perth,13-Jan-12
116,237,213,11,1,54.46,6,lbw,2,Test v Australia,Adelaide,24-Jan-12
22,96,62,2,0,35.48,6,run out,4,Test v Australia,Adelaide,24-Jan-12
22,30,21,0,1,104.76,3,caught,2,T20I v Australia,Sydney,01-Feb-12
31,29,24,3,0,129.16,3,caught,2,T20I v Australia,Melbourne,03-Feb-12
31,30,34,3,0,91.17,3,caught,2,ODI v Australia,Melbourne,05-Feb-12
77,156,94,8,1,81.91,3,run out,2,ODI v Sri Lanka,Perth,08-Feb-12
18,41,28,1,0,64.28,3,caught,2,ODI v Australia,Adelaide,12-Feb-12
15,32,25,1,0,60,3,lbw,2,ODI v Sri Lanka,Adelaide,14-Feb-12
12,44,25,0,0,48,3,caught,2,ODI v Australia,Brisbane,19-Feb-12
66,116,83,2,0,79.51,4,caught,2,ODI v Sri Lanka,Brisbane,21-Feb-12
21,36,27,2,0,77.77,4,caught,2,ODI v Australia,Sydney,26-Feb-12
133*,133,86,16,2,154.65,4,not out,2,ODI v Sri Lanka,Hobart,28-Feb-12
108,148,120,7,0,90,3,caught,1,ODI v Sri Lanka,Mirpur,13-Mar-12
66,126,82,5,0,80.48,3,bowled,1,ODI v Bangladesh,Mirpur,16-Mar-12
183,211,148,22,1,123.64,3,caught,2,ODI v Pakistan,Mirpur,18-Mar-12
DNB,-,-,-,-,-,-,-,2,T20I v South Africa,Johannesburg,30-Mar-12
106,158,113,9,0,93.8,3,caught,1,ODI v Sri Lanka,Hambantota,21-Jul-12
1,6,5,0,0,20,3,caught,1,ODI v Sri Lanka,Hambantota,24-Jul-12
38,80,65,2,0,58.46,3,caught,2,ODI v Sri Lanka,Colombo (RPS),28-Jul-12
128*,187,119,12,1,107.56,3,not out,2,ODI v Sri Lanka,Colombo (RPS),31-Jul-12
23,42,35,2,0,65.71,3,lbw,1,ODI v Sri Lanka,Pallekele,04-Aug-12
68,65,48,11,1,141.66,3,caught,1,T20I v Sri Lanka,Pallekele,07-Aug-12
58,143,107,8,0,54.2,5,caught,1,Test v New Zealand,Hyderabad,23-Aug-12
103,284,193,14,1,53.36,5,lbw,2,Test v New Zealand,Bengaluru,31-Aug-12
51*,130,82,9,0,62.19,5,not out,4,Test v New Zealand,Bengaluru,31-Aug-12
70,67,41,10,1,170.73,2,caught,2,T20I v New Zealand,Chennai,11-Sep-12
50,60,39,4,2,128.2,3,caught,1,T20I v Afghanistan,Colombo (RPS),19-Sep-12
40,33,32,6,0,125,3,caught,1,T20I v England,Colombo (RPS),23-Sep-12
15,18,13,2,0,115.38,3,caught,1,T20I v Australia,Colombo (RPS),28-Sep-12
78*,61,61,8,2,127.86,3,not out,2,T20I v Pakistan,Colombo (RPS),30-Sep-12
2,5,6,0,0,33.33,3,caught,1,T20I v South Africa,Colombo (RPS),02-Oct-12
19,70,67,3,0,28.35,5,bowled,1,Test v England,Ahmedabad,15-Nov-12
14*,17,21,3,0,66.66,3,not out,4,Test v England,Ahmedabad,15-Nov-12
19,65,55,3,0,34.54,5,caught,1,Test v England,Wankhede,23-Nov-12
7,16,13,1,0,53.84,5,caught,3,Test v England,Wankhede,23-Nov-12
6,31,24,1,0,25,5,caught,1,Test v England,Eden Gardens,05-Dec-12
20,86,60,3,0,33.33,5,caught,3,Test v England,Eden Gardens,05-Dec-12
103,356,295,11,0,34.91,5,lbw,2,Test v England,Nagpur,13-Dec-12
21,35,17,2,0,123.52,3,bowled,2,T20I v England,Pune,20-Dec-12
38,25,20,7,0,190,3,lbw,1,T20I v England,Wankhede,22-Dec-12
9,15,11,1,0,81.81,3,caught,1,T20I v Pakistan,Bengaluru,25-Dec-12
27,31,22,3,0,122.72,3,run out,1,T20I v Pakistan,Ahmedabad,28-Dec-12
0,9,5,0,0,0,3,bowled,1,ODI v Pakistan,Chennai,30-Dec-12
6,12,9,1,0,66.66,3,caught,2,ODI v Pakistan,Eden Gardens,03-Jan-13
7,25,17,1,0,41.17,3,caught,1,ODI v Pakistan,Delhi,06-Jan-13
15,45,22,1,0,68.18,3,caught,2,ODI v England,Rajkot,11-Jan-13
37,86,54,1,1,68.51,3,caught,1,ODI v England,Kochi,15-Jan-13
77*,110,79,9,2,97.46,3,not out,2,ODI v England,Ranchi,19-Jan-13
26,44,33,3,0,78.78,3,caught,2,ODI v England,Mohali,23-Jan-13
0,1,1,0,0,0,3,caught,1,ODI v England,Dharamsala,27-Jan-13
107,266,206,15,1,51.94,5,caught,2,Test v Australia,Chennai,22-Feb-13
DNB,-,-,-,-,-,-,-,4,Test v Australia,Chennai,22-Feb-13
34,119,92,3,0,36.95,5,caught,2,Test v Australia,Hyderabad,02-Mar-13
67*,157,129,7,1,51.93,5,not out,2,Test v Australia,Mohali,14-Mar-13
34,80,61,6,0,55.73,3,caught,4,Test v Australia,Mohali,14-Mar-13
